part_id,part_description,category,hs_code,supplier_id,supplier_name,tier,country_of_origin,region,annual_volume_units,unit_cost_usd,material_share_pct,criticality,single_source_flag,on_time_delivery_pct,annual_spend_usd,matched_alert_ids,applied_delta_pct,landed_cost_before_usd,landed_cost_after_usd,annual_cost_impact_usd,exposure_score,risk_band
P0034,Spring steel clip,Steel Hardware,7326.90,S048,Lumen Components,1,China,East Asia,487586,0.925,0.78,High,False,86.7,451017.05,,0.0,0.925,0.925,0.0,20.8,Green
P0035,e-Paper module,Display Modules,9013.80,S030,Trigon Fabrication,2,Vietnam,SE Asia,288382,18.869,0.78,Medium,False,86.6,5441479.96,,0.0,18.869,18.869,0.0,11.8,Green
P0036,Spring steel clip,Steel Hardware,7326.90,S022,Meishan Circuit Works,2,South Korea,East Asia,39305,0.449,0.81,Low,False,98.5,17647.94,,0.0,0.449,0.449,0.0,4.1,Green
P0037,HDI rigid-flex PCB,PCB & Laminates,8534.00,S040,Vireo Systems,1,Malaysia,SE Asia,27521,2.864,0.45,Low,True,87.1,78820.14,GTA0028,4.8,2.864,3.0015,3784.14,31.9,Amber
P0038,OLED display 1.3in,Display Modules,9013.80,S002,Ceyl Industries,1,Taiwan,East Asia,627903,15.872,0.5,Medium,False,95.3,9966076.42,,0.0,15.872,15.872,0.0,11.3,Green
P0039,FFC/FPC connector,Connectors,8536.69,S038,Ferro Circuit Works,2,India,South Asia,26436,1.026,0.7,Medium,False,95.2,27123.34,GTA0020,6.7,1.026,1.0947,1816.15,23.8,Amber
P0040,Ceramic substrate,PCB & Laminates,8534.00,S040,Vireo Systems,1,Malaysia,SE Asia,883989,8.192,0.59,Low,True,87.1,7241637.89,GTA0028,4.8,8.192,8.5852,347584.47,75.8,Red
P0041,Ceramic substrate,PCB & Laminates,8534.00,S046,Kanto Assemblies,1,Mexico,North America,814928,1.259,0.83,High,False,87.7,1025994.35,,0.0,1.259,1.259,0.0,20.7,Green
P0042,8-layer backplane,PCB & Laminates,8534.00,S046,Kanto Assemblies,1,Mexico,North America,782785,6.003,0.72,High,False,87.7,4699058.36,,0.0,6.003,6.003,0.0,20.7,Green
P0043,Silicone keypad,Polymer Housings,3926.90,S028,Ostro Components,1,Japan,East Asia,506731,2.137,0.83,Low,False,90.0,1082884.15,,0.0,2.137,2.137,0.0,4.6,Green
P0044,RF transceiver,Semiconductors/ICs,8542.31,S050,Volt Semicon,3,Japan,East Asia,873911,23.616,0.52,High,False,86.6,20638282.18,,0.0,23.616,23.616,0.0,20.8,Green
P0045,Prismatic cell 50Ah,Li-ion Cells & Batteries,8507.60,S008,Hanwa Industries,1,Thailand,SE Asia,467198,3.426,0.59,Medium,False,97.0,1600620.35,,0.0,3.426,3.426,0.0,11.2,Green
P0046,Signal amplifier IC,Semiconductors/ICs,8542.39,S050,Volt Semicon,3,Japan,East Asia,429176,3.911,0.56,High,False,86.6,1678507.34,,0.0,3.911,3.911,0.0,20.8,Green
P0047,Ceramic substrate,PCB & Laminates,8534.00,S046,Kanto Assemblies,1,Mexico,North America,94640,3.069,0.75,High,False,87.7,290450.16,,0.0,3.069,3.069,0.0,20.7,Green
P0048,Signal amplifier IC,Semiconductors/ICs,8542.32,S050,Volt Semicon,3,Japan,East Asia,68447,11.886,0.37,High,False,86.6,813561.04,,0.0,11.886,11.886,0.0,20.8,Green
P0049,LiPo pouch cell 3000mAh,Li-ion Cells & Batteries,8507.60,S008,Hanwa Industries,1,Thailand,SE Asia,691168,7.311,0.74,Medium,False,97.0,5053129.25,,0.0,7.311,7.311,0.0,11.2,Green
P0050,FPGA module,Semiconductors/ICs,8542.39,S050,Volt Semicon,3,Japan,East Asia,670699,13.575,0.37,High,False,86.6,9104738.92,,0.0,13.575,13.575,0.0,20.8,Green
P0051,Aluminium electrolytic 470uF,Capacitors,8532.24,S016,Ferro Industries,1,USA,North America,2463000,0.048,0.61,Medium,False,91.9,118224.0,,0.0,0.048,0.048,0.0,11.5,Green
P0052,5.5in TFT-LCD module,Display Modules,9013.80,S042,Kanto Precision,1,South Korea,East Asia,688489,27.844,0.8,Low,False,82.7,19170287.72,,0.0,27.844,27.844,0.0,5.0,Green
P0053,Touch panel assembly,Display Modules,9013.80,S042,Kanto Precision,1,South Korea,East Asia,385201,13.076,0.52,Low,False,82.7,5036888.28,,0.0,13.076,13.076,0.0,5.0,Green
P0054,MLCC 1206 X7R,Capacitors,8532.21,S049,Doran Fabrication,1,China,East Asia,1698420,0.023,0.55,Low,True,91.0,39063.66,GTA0004,15.0,0.023,0.0264,5774.63,32.3,Amber
P0055,MLCC 1206 X7R,Capacitors,8532.21,S019,Sable Devices,1,China,East Asia,3706824,0.034,0.52,Low,True,90.5,126032.02,GTA0004,15.0,0.034,0.0391,18904.8,36.2,Amber
P0056,ABS enclosure top,Polymer Housings,3926.90,S045,Kori Technologies,3,Japan,East Asia,489551,2.695,0.5,Medium,False,99.5,1319339.94,,0.0,2.695,2.695,0.0,11.0,Green
P0057,Coax assembly RG-174,Insulated Wire & Cable,8544.49,S026,Kori Microelectronics,2,China,East Asia,140402,1.496,0.85,Low,False,91.4,210041.39,,0.0,1.496,1.496,0.0,4.5,Green
P0058,FFC/FPC connector,Connectors,8536.90,S044,Sable Systems,1,Taiwan,East Asia,456305,0.977,0.6,High,True,95.0,445809.98,,0.0,0.977,0.977,0.0,34.3,Amber
P0059,Coin cell CR2032,Li-ion Cells & Batteries,8507.60,S008,Hanwa Industries,1,Thailand,SE Asia,92530,14.965,0.45,Medium,False,97.0,1384711.45,,0.0,14.965,14.965,0.0,11.2,Green
P0060,5.5in TFT-LCD module,Display Modules,9013.80,S002,Ceyl Industries,1,Taiwan,East Asia,867566,14.247,0.52,Medium,False,95.3,12360212.8,,0.0,14.247,14.247,0.0,11.3,Green
P0061,Silicone keypad,Polymer Housings,3926.90,S027,Zhen Interconnect,1,China,East Asia,866854,0.815,0.62,Medium,False,87.6,706486.01,,0.0,0.815,0.815,0.0,11.7,Green
P0062,Tantalum capacitor 47uF,Capacitors,8532.21,S019,Sable Devices,1,China,East Asia,4856142,0.026,0.51,Low,True,90.5,126259.69,GTA0004,15.0,0.026,0.0299,18938.95,36.3,Amber
P0063,DC-DC converter IC,Semiconductors/ICs,8542.31,S050,Volt Semicon,3,Japan,East Asia,209752,2.635,0.68,High,False,86.6,552696.52,,0.0,2.635,2.635,0.0,20.8,Green
P0064,Battery pack 4S,Li-ion Cells & Batteries,8507.60,S020,Sable Microelectronics,1,Taiwan,East Asia,283732,3.365,0.43,Low,False,97.7,954758.18,,0.0,3.365,3.365,0.0,4.1,Green
P0065,32-bit MCU,Semiconductors/ICs,8542.31,S050,Volt Semicon,3,Japan,East Asia,269257,11.721,0.75,High,False,86.6,3155961.3,,0.0,11.721,11.721,0.0,20.8,Green
P0066,Ceramic substrate,PCB & Laminates,8534.00,S046,Kanto Assemblies,1,Mexico,North America,405779,5.741,0.85,High,False,87.7,2329577.24,,0.0,5.741,5.741,0.0,20.7,Green
P0067,OLED display 1.3in,Display Modules,9013.80,S042,Kanto Precision,1,South Korea,East Asia,736881,17.126,0.74,Low,False,82.7,12619824.01,,0.0,17.126,17.126,0.0,5.0,Green
P0068,Ferrite bead,Resistors & Passives,8533.21,S012,Terna Systems,3,China,East Asia,2375328,0.063,0.83,Low,False,88.5,149645.66,GTA0014,15.0,0.063,0.0724,22328.08,23.4,Amber
P0069,e-Paper module,Display Modules,9013.80,S030,Trigon Fabrication,2,Vietnam,SE Asia,142908,19.456,0.83,Medium,False,86.6,2780418.05,,0.0,19.456,19.456,0.0,11.8,Green
P0070,21700 Li-ion cell,Li-ion Cells & Batteries,8507.60,S008,Hanwa Industries,1,Thailand,SE Asia,65098,4.396,0.38,Medium,False,97.0,286170.81,,0.0,4.396,4.396,0.0,11.2,Green
P0071,OLED display 1.3in,Display Modules,9013.80,S029,Orin Industries,1,Thailand,SE Asia,715336,19.895,0.38,Medium,False,99.5,14231609.72,,0.0,19.895,19.895,0.0,11.0,Green
P0072,LiPo pouch cell 3000mAh,Li-ion Cells & Batteries,8507.60,S008,Hanwa Industries,1,Thailand,SE Asia,704215,6.318,0.7,Medium,False,97.0,4449230.37,,0.0,6.318,6.318,0.0,11.2,Green
P0073,21700 Li-ion cell,Li-ion Cells & Batteries,8507.60,S014,Lumen Industries,1,China,East Asia,451650,8.594,0.56,Low,False,94.2,3881480.1,GTA0003,18.4,8.594,10.1753,714194.15,61.3,Red
P0074,OLED display 1.3in,Display Modules,9013.80,S001,Nexa Technologies,1,Taiwan,East Asia,385005,31.245,0.35,High,False,90.6,12029481.22,,0.0,31.245,31.245,0.0,20.6,Green
P0075,LCD backlight unit,Display Modules,9013.80,S030,Trigon Fabrication,2,Vietnam,SE Asia,45738,11.978,0.57,Medium,False,86.6,547849.76,,0.0,11.978,11.978,0.0,11.8,Green
P0076,HDI rigid-flex PCB,PCB & Laminates,8534.00,S046,Kanto Assemblies,1,Mexico,North America,486167,2.519,0.51,High,False,87.7,1224654.67,,0.0,2.519,2.519,0.0,20.7,Green
P0077,Power blade connector,Connectors,8536.69,S017,Axion Technologies,1,China,East Asia,442279,0.567,0.46,Low,False,82.3,250772.19,,0.0,0.567,0.567,0.0,5.1,Green
P0078,MLCC 1206 X7R,Capacitors,8532.24,S021,Ostro Circuit Works,3,USA,North America,2732370,0.034,0.71,Medium,False,93.9,92900.58,,0.0,0.034,0.034,0.0,11.4,Green
P0079,Al shield can,Aluminium Enclosures,7616.99,S010,Ceyl Materials,2,Vietnam,SE Asia,61689,5.007,0.81,Low,True,91.2,308876.82,,0.0,5.007,5.007,0.0,18.5,Green
P0080,LCD backlight unit,Display Modules,9013.80,S001,Nexa Technologies,1,Taiwan,East Asia,185723,32.935,0.41,High,False,90.6,6116787.01,,0.0,32.935,32.935,0.0,20.6,Green
P0081,Extruded heatsink,Aluminium Enclosures,7616.99,S039,Trigon Industries,2,South Korea,East Asia,223028,9.96,0.77,Low,True,96.9,2221358.88,,0.0,9.96,9.96,0.0,18.2,Green
P0082,Touch panel assembly,Display Modules,9013.80,S001,Nexa Technologies,1,Taiwan,East Asia,489260,35.039,0.43,High,False,90.6,17143181.14,,0.0,35.039,35.039,0.0,20.6,Green
P0083,Ceramic substrate,PCB & Laminates,8534.00,S046,Kanto Assemblies,1,Mexico,North America,276197,2.687,0.81,High,False,87.7,742141.34,,0.0,2.687,2.687,0.0,20.7,Green
P0084,OLED display 1.3in,Display Modules,9013.80,S029,Orin Industries,1,Thailand,SE Asia,820300,61.278,0.53,Medium,False,99.5,50266343.4,,0.0,61.278,61.278,0.0,11.0,Green
P0085,PBT connector housing,Polymer Housings,3926.90,S047,Elbe Industries,3,China,East Asia,502392,2.914,0.65,Medium,False,94.4,1463970.29,,0.0,2.914,2.914,0.0,11.3,Green
P0086,Machined Al chassis,Aluminium Enclosures,7606.12,S015,Nexa Devices,1,China,East Asia,384342,7.963,0.39,Medium,False,94.8,3060515.35,GTA0005,10.0,7.963,8.7593,306051.53,68.3,Red
P0087,e-Paper module,Display Modules,9013.80,S002,Ceyl Industries,1,Taiwan,East Asia,324901,22.939,0.43,Medium,False,95.3,7452904.04,,0.0,22.939,22.939,0.0,11.3,Green
P0088,PBT connector housing,Polymer Housings,3926.90,S045,Kori Technologies,3,Japan,East Asia,643120,4.51,0.51,Medium,False,99.5,2900471.2,,0.0,4.51,4.51,0.0,11.0,Green
P0089,DC-DC converter IC,Semiconductors/ICs,8542.31,S050,Volt Semicon,3,Japan,East Asia,703245,9.557,0.7,High,False,86.6,6720912.46,,0.0,9.557,9.557,0.0,20.8,Green
P0090,Chip resistor 0603,Resistors & Passives,8533.21,S012,Terna Systems,3,China,East Asia,2798502,0.016,0.35,Low,False,88.5,44776.03,GTA0014,15.0,0.016,0.0184,6716.4,18.7,Amber
P0091,Touch panel assembly,Display Modules,9013.80,S002,Ceyl Industries,1,Taiwan,East Asia,893914,34.403,0.41,Medium,False,95.3,30753323.34,,0.0,34.403,34.403,0.0,11.3,Green
P0092,Motor controller IC,Semiconductors/ICs,8542.31,S050,Volt Semicon,3,Japan,East Asia,165556,8.583,0.49,High,False,86.6,1420967.15,,0.0,8.583,8.583,0.0,20.8,Green
P0093,FFC/FPC connector,Connectors,8536.90,S003,Verda Components,1,Mexico,North America,543219,1.162,0.68,Medium,False,92.2,631220.48,,0.0,1.162,1.162,0.0,11.5,Green
P0094,Stainless fastener kit,Steel Hardware,7326.90,S048,Lumen Components,1,China,East Asia,35981,1.152,0.47,High,False,86.7,41450.11,,0.0,1.152,1.152,0.0,20.8,Green
P0095,RF transceiver,Semiconductors/ICs,8542.39,S050,Volt Semicon,3,Japan,East Asia,183017,6.226,0.55,High,False,86.6,1139463.84,,0.0,6.226,6.226,0.0,20.8,Green
P0096,Touch panel assembly,Display Modules,9013.80,S042,Kanto Precision,1,South Korea,East Asia,691535,41.876,0.73,Low,False,82.7,28958719.66,,0.0,41.876,41.876,0.0,5.0,Green
P0097,Power management IC,Semiconductors/ICs,8542.32,S050,Volt Semicon,3,Japan,East Asia,388959,10.59,0.36,High,False,86.6,4119075.81,,0.0,10.59,10.59,0.0,20.8,Green
P0098,HDI rigid-flex PCB,PCB & Laminates,8534.00,S046,Kanto Assemblies,1,Mexico,North America,477802,3.264,0.4,High,False,87.7,1559545.73,,0.0,3.264,3.264,0.0,20.7,Green
P0099,Gate driver IC,Semiconductors/ICs,8542.32,S050,Volt Semicon,3,Japan,East Asia,432542,10.733,0.83,High,False,86.6,4642473.29,,0.0,10.733,10.733,0.0,20.8,Green
P0100,Chip resistor 0603,Resistors & Passives,8533.21,S012,Terna Systems,3,China,East Asia,1173576,0.017,0.58,Low,False,88.5,19950.79,GTA0014,15.0,0.017,0.0196,3051.3,17.6,Amber
P0101,Silicone keypad,Polymer Housings,3926.90,S045,Kori Technologies,3,Japan,East Asia,792961,1.93,0.61,Medium,False,99.5,1530414.73,,0.0,1.93,1.93,0.0,11.0,Green
P0102,Silicone keypad,Polymer Housings,3926.90,S045,Kori Technologies,3,Japan,East Asia,663399,2.316,0.63,Medium,False,99.5,1536432.08,,0.0,2.316,2.316,0.0,11.0,Green
P0103,Prismatic cell 50Ah,Li-ion Cells & Batteries,8507.60,S008,Hanwa Industries,1,Thailand,SE Asia,815496,4.461,0.75,Medium,False,97.0,3637927.66,,0.0,4.461,4.461,0.0,11.2,Green
P0104,USB-C receptacle,Connectors,8536.69,S007,Hanwa Devices,1,Malaysia,SE Asia,421110,2.255,0.84,Medium,True,99.5,949603.05,,0.0,2.255,2.255,0.0,25.0,Amber
P0105,MLCC 1206 X7R,Capacitors,8532.24,S024,Halcyon Components,1,Taiwan,East Asia,3917970,0.057,0.55,Low,False,92.2,223324.29,,0.0,0.057,0.057,0.0,4.5,Green
P0106,LiPo pouch cell 3000mAh,Li-ion Cells & Batteries,8507.60,S020,Sable Microelectronics,1,Taiwan,East Asia,555692,9.949,0.55,Low,False,97.7,5528579.71,,0.0,9.949,9.949,0.0,4.1,Green
P0107,Power blade connector,Connectors,8536.90,S038,Ferro Circuit Works,2,India,South Asia,79560,0.705,0.54,Medium,False,95.2,56089.8,GTA0020,6.7,0.705,0.7522,3755.23,24.4,Amber
P0108,ABS enclosure top,Polymer Housings,3926.90,S025,Orin Microelectronics,2,Vietnam,SE Asia,312388,1.913,0.69,Medium,False,88.6,597598.24,,0.0,1.913,1.913,0.0,11.7,Green
P0109,Stainless fastener kit,Steel Hardware,7326.90,S022,Meishan Circuit Works,2,South Korea,East Asia,659987,0.977,0.4,Low,False,98.5,644807.3,,0.0,0.977,0.977,0.0,4.1,Green
P0110,HDI rigid-flex PCB,PCB & Laminates,8534.00,S046,Kanto Assemblies,1,Mexico,North America,322559,4.38,0.45,High,False,87.7,1412808.42,,0.0,4.38,4.38,0.0,20.7,Green
P0111,Ferrite bead,Resistors & Passives,8533.21,S012,Terna Systems,3,China,East Asia,2876220,0.022,0.48,Low,False,88.5,63276.84,GTA0014,15.0,0.022,0.0253,9491.53,19.5,Amber
P0112,FFC/FPC connector,Connectors,8536.69,S003,Verda Components,1,Mexico,North America,235377,1.293,0.6,Medium,False,92.2,304342.46,,0.0,1.293,1.293,0.0,11.5,Green
P0113,Prismatic cell 50Ah,Li-ion Cells & Batteries,8507.60,S008,Hanwa Industries,1,Thailand,SE Asia,139164,6.46,0.73,Medium,False,97.0,898999.44,,0.0,6.46,6.46,0.0,11.2,Green
P0114,Signal amplifier IC,Semiconductors/ICs,8542.31,S050,Volt Semicon,3,Japan,East Asia,813444,15.258,0.84,High,False,86.6,12411528.55,,0.0,15.258,15.258,0.0,20.8,Green
P0115,32-bit MCU,Semiconductors/ICs,8542.32,S050,Volt Semicon,3,Japan,East Asia,848326,10.976,0.63,High,False,86.6,9311226.18,,0.0,10.976,10.976,0.0,20.8,Green
P0116,Power blade connector,Connectors,8536.69,S007,Hanwa Devices,1,Malaysia,SE Asia,764301,0.593,0.62,Medium,True,99.5,453230.49,,0.0,0.593,0.593,0.0,25.0,Amber
P0117,Stainless fastener kit,Steel Hardware,7326.90,S011,Doran Precision,2,China,East Asia,242864,0.599,0.78,Medium,False,92.5,145475.54,,0.0,0.599,0.599,0.0,11.4,Green
P0118,8-layer backplane,PCB & Laminates,8534.00,S036,Ceyl Technologies,1,South Korea,East Asia,666913,5.336,0.54,Low,False,91.8,3558647.77,,0.0,5.336,5.336,0.0,4.5,Green
P0119,Multi-core control cable,Insulated Wire & Cable,8544.42,S026,Kori Microelectronics,2,China,East Asia,57983,1.022,0.82,Low,False,91.4,59258.63,,0.0,1.022,1.022,0.0,4.5,Green
P0120,LiPo pouch cell 3000mAh,Li-ion Cells & Batteries,8507.60,S008,Hanwa Industries,1,Thailand,SE Asia,659527,5.807,0.48,Medium,False,97.0,3829873.29,,0.0,5.807,5.807,0.0,11.2,Green
P0121,Aluminium electrolytic 470uF,Capacitors,8532.24,S049,Doran Fabrication,1,China,East Asia,1067718,0.073,0.57,Low,True,91.0,77943.41,GTA0004,15.0,0.073,0.0839,11638.13,34.0,Amber
P0122,RF coax connector,Connectors,8536.90,S017,Axion Technologies,1,China,East Asia,525390,1.605,0.52,Low,False,82.3,843250.95,,0.0,1.605,1.605,0.0,5.1,Green
P0123,RF coax connector,Connectors,8536.90,S032,Kestrel Semicon,1,China,East Asia,238597,0.351,0.43,High,True,91.2,83747.55,,0.0,0.351,0.351,0.0,34.5,Amber
P0124,Motor controller IC,Semiconductors/ICs,8542.31,S050,Volt Semicon,3,Japan,East Asia,308995,7.139,0.6,High,False,86.6,2205915.31,,0.0,7.139,7.139,0.0,20.8,Green
P0125,USB-C receptacle,Connectors,8536.90,S032,Kestrel Semicon,1,China,East Asia,492179,0.801,0.42,High,True,91.2,394235.38,,0.0,0.801,0.801,0.0,34.5,Amber
P0126,21700 Li-ion cell,Li-ion Cells & Batteries,8507.60,S008,Hanwa Industries,1,Thailand,SE Asia,857979,11.64,0.83,Medium,False,97.0,9986875.56,,0.0,11.64,11.64,0.0,11.2,Green
P0127,Stamped steel bracket,Steel Hardware,7326.90,S011,Doran Precision,2,China,East Asia,507886,0.394,0.48,Medium,False,92.5,200107.08,,0.0,0.394,0.394,0.0,11.4,Green
P0128,OLED display 1.3in,Display Modules,9013.80,S002,Ceyl Industries,1,Taiwan,East Asia,124678,24.455,0.51,Medium,False,95.3,3049000.49,,0.0,24.455,24.455,0.0,11.3,Green
P0129,FFC/FPC connector,Connectors,8536.69,S038,Ferro Circuit Works,2,India,South Asia,485195,1.04,0.44,Medium,False,95.2,504602.8,GTA0020,6.7,1.04,1.1097,33818.09,33.4,Amber
P0130,Power management IC,Semiconductors/ICs,8542.32,S050,Volt Semicon,3,Japan,East Asia,740110,1.533,0.58,High,False,86.6,1134588.63,,0.0,1.533,1.533,0.0,20.8,Green
P0131,Al front bezel,Aluminium Enclosures,7606.12,S010,Ceyl Materials,2,Vietnam,SE Asia,512052,3.076,0.52,Low,True,91.2,1575071.95,,0.0,3.076,3.076,0.0,18.5,Green
P0132,6-layer FR4 PCB,PCB & Laminates,8534.00,S046,Kanto Assemblies,1,Mexico,North America,67605,12.891,0.75,High,False,87.7,871496.06,,0.0,12.891,12.891,0.0,20.7,Green
P0133,Prismatic cell 50Ah,Li-ion Cells & Batteries,8507.60,S014,Lumen Industries,1,China,East Asia,487303,6.94,0.67,Low,False,94.2,3381882.82,GTA0003,18.4,6.94,8.217,622285.93,61.3,Red
P0134,Touch panel assembly,Display Modules,9013.80,S001,Nexa Technologies,1,Taiwan,East Asia,266963,11.119,0.38,High,False,90.6,2968361.6,,0.0,11.119,11.119,0.0,20.6,Green
P0135,OLED display 1.3in,Display Modules,9013.80,S029,Orin Industries,1,Thailand,SE Asia,401971,22.384,0.67,Medium,False,99.5,8997718.86,,0.0,22.384,22.384,0.0,11.0,Green
